id,language,task,domain,difficulty,prompt,reference_answer,source
qa_en_33,English,Question Answering,Language Learning,Hard,What does 'split' mean when sharing food in a restaurant?,Split' means that two or more people will share/divide one order of food.,Espresso English
qa_en_34,English,Question Answering,Language Learning,Easy,Is the Earth round?,Yes.,Espresso English
qa_en_35,English,Question Answering,Language Learning,Hard,What does the phrase 'To be honest...' introduce in dialogue?,It is a diplomatic way to introduce a complaint or negative comment.,Espresso English
qa_en_36,English,Question Answering,Language Learning,Easy,What is 'decaf coffee'?,Decaf coffee' is coffee with no caffeine.,Espresso English
qa_en_37,English,Question Answering,Language Learning,Medium,What is 'the check' in a restaurant?,The 'check' is the list of items and the total price to pay.,Espresso English
qa_en_38,English,Question Answering,Language Learning,Medium,What is a 'slice' of apple pie?,"A 'slice' is a single piece of a pie, cake, or pizza.",Espresso English
qa_en_39,English,Question Answering,Language Learning,Hard,Is 'Nope' considered a formal or informal word in English?,It is an informal way to say 'No.',Espresso English
qa_en_40,English,Question Answering,Language Learning,Hard,What does 'Great! Couldn't be better!' mean in response to 'How's it going?'?,This means that everything is excellent.,Espresso English
qa_bn_01,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের রাজধানীর নাম কী?,ঢাকা।,100 bangla questions answers
qa_bn_02,Bangla,Question Answering,General Knowledge,Medium,বাংলাদেশের জাতীয় পতাকার রং কী কী?,সবুজ ও লাল।,100 bangla questions answers
qa_bn_03,Bangla,Question Answering,General Knowledge,Easy,"বাংলাদেশের মুক্তিযুদ্ধ কত সালে হয়েছিল?
","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে হয়েছিল।
",100 bangla questions answers
qa_bn_04,Bangla,Question Answering,General Knowledge,Easy,"জাতীয় স্মৃতিসৌধ কোথায় অবস্থিত?
","জাতীয় স্মৃতিসৌধ সাভার, ঢাকায় অবস্থিত।",100 bangla questions answers
qa_bn_05,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় পশুর নাম কী?,রয়েল বেঙ্গল টাইগার।,100 bangla questions answers
qa_bn_06,Bangla,Question Answering,General Knowledge,Easy,মুসলমানদের পবিত্র ধর্মগ্রন্থের নাম কী?,পবিত্র কুরআন।,100 bangla questions answers
qa_bn_07,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় মাছের নাম কী?,ইলিশ।,100 bangla questions answers
qa_bn_08,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় খেলার নাম কী?,কাবাডি।,100 bangla questions answers
qa_bn_09,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় কবি কে?,কাজী নজরুল ইসলাম।,100 bangla questions answers
qa_bn_10,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের স্বাধীনতা দিবস কবে?,২৬ মার্চ।,100 bangla questions answers
qa_bn_11,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের বিজয় দিবস কবে?,১৬ ডিসেম্বর।,100 bangla questions answers
qa_bn_12,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের রাষ্ট্রভাষা কী?,বাংলা।,100 bangla questions answers
qa_bn_13,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের মুদ্রার নাম কী?,টাকা।,100 bangla questions answers
qa_bn_14,Bangla,Question Answering,General Knowledge,Easy,যাকাত কী?,সামর্থ্যবান মুসলমানদের জন্য নির্ধারিত আর্থিক ইবাদত।,100 bangla questions answers
qa_bn_15,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের প্রধান নদী কোনটি?,পদ্মা।,100 bangla questions answers
qa_bn_16,Bangla,Question Answering,General Knowledge,Medium,বাংলাদেশের দীর্ঘতম সমুদ্র সৈকতের নাম কী?,কক্সবাজার।,100 bangla questions answers
qa_bn_17,Bangla,Question Answering,General Knowledge,Easy,পৃথিবী কি সূর্যের চারদিকে ঘোরে?,হ্যাঁ।,100 bangla questions answers
qa_bn_18,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় সংসদের নাম কী?,জাতীয় সংসদ।,100 bangla questions answers
qa_bn_19,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের মোট বিভাগ কয়টি?,৮টি।,100 bangla questions answers
qa_bn_20,Bangla,Question Answering,General Knowledge,Easy,"পৃথিবীতে কয়টি মহাদেশ রয়েছে?
","পৃথিবীতে ৭টি মহাদেশ রয়েছে।
",100 bangla questions answers
qa_bn_21,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের সবচেয়ে বড় বিভাগ কোনটি?,চট্টগ্রাম বিভাগ।,100 bangla questions answers
qa_bn_22,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের সবচেয়ে ছোট বিভাগ কোনটি?,ময়মনসিংহ বিভাগ।,100 bangla questions answers
qa_bn_23,Bangla,Question Answering,General Knowledge,Medium,এক সপ্তাহে কি ১০ দিন থাকে?,না।,100 bangla questions answers
qa_bn_24,Bangla,Question Answering,General Knowledge,Easy,"পৃথিবীর সবচেয়ে বড় মরুভূমি কোনটি?
","অ্যান্টার্কটিকা পৃথিবীর বৃহত্তম মরুভূমি।
",100 bangla questions answers
qa_bn_25,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের প্রধান সমুদ্রবন্দর কোনটি?,চট্টগ্রাম বন্দর।,100 bangla questions answers
qa_bn_26,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের দ্বিতীয় বৃহত্তম সমুদ্রবন্দর কোনটি?,মোংলা বন্দর।,100 bangla questions answers
qa_bn_27,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের আন্তর্জাতিক বিমানবন্দরের নাম কী?,হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দর।,100 bangla questions answers
qa_bn_28,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় বৃক্ষের নাম কী?,আমগাছ।,100 bangla questions answers
qa_bn_29,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় সংগীতের নাম কী?,আমার সোনার বাংলা।,100 bangla questions answers
qa_bn_30,Bangla,Question Answering,General Knowledge,Easy,ইন্টারনেট কী?,ইন্টারনেট হলো বিশ্বব্যাপী সংযুক্ত কম্পিউটার নেটওয়ার্ক।,100 bangla questions answers
qa_bn_31,Bangla,Question Answering,General Knowledge,Easy,"রক্তের লাল কণিকার কাজ কী?
","রক্তের লাল কণিকা শরীরে অক্সিজেন পরিবহন করে।
",100 bangla questions answers
qa_bn_32,Bangla,Question Answering,General Knowledge,Medium,বাংলাদেশের মুক্তিযুদ্ধ কত মাস স্থায়ী ছিল?,৯ মাস।,100 bangla questions answers
qa_bn_33,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের স্বাধীনতার ঘোষক কে?,বঙ্গবন্ধু শেখ মুজিবুর রহমান।,100 bangla questions answers
qa_bn_34,Bangla,Question Answering,General Knowledge,Easy,"নিয়মিত ব্যায়ামের একটি উপকারিতা বলো।
","এটি শরীরকে সুস্থ ও কর্মক্ষম রাখে।
",100 bangla questions answers
qa_bn_35,Bangla,Question Answering,General Knowledge,Medium,বাংলাদেশের সংবিধান কার্যকর হয় কত সালে?,১৯৭২ সালে।,100 bangla questions answers
qa_bn_36,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় শহীদ মিনার কোথায়?,ঢাকা।,100 bangla questions answers
qa_bn_37,Bangla,Question Answering,General Knowledge,Easy,আন্তর্জাতিক মাতৃভাষা দিবস কবে?,২১ ফেব্রুয়ারি।,100 bangla questions answers
qa_bn_38,Bangla,Question Answering,General Knowledge,Easy,ভাষা আন্দোলন কত সালে হয়?,১৯৫২ সালে।,100 bangla questions answers
qa_bn_39,Bangla,Question Answering,General Knowledge,Easy,বাংলাদেশের জাতীয় মসজিদের নাম কী?,বায়তুল মোকাররম।,100 bangla questions answers
qa_bn_40,Bangla,Question Answering,General Knowledge,Easy,"কম্পিউটারের মস্তিষ্ক কাকে বলা হয়?
","CPU-কে কম্পিউটারের মস্তিষ্ক বলা হয়।
",100 bangla questions answers
sum_en_01,English,Summarization,Science,Hard,"Summarize the following paragraph in one sentence:
Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities. This chemical energy is stored in carbohydrate molecules, such as sugars, which are synthesized from carbon dioxide and water. In most cases, oxygen is also released as a waste product, which is vital for the survival of aerobic organisms on Earth.","Plants use photosynthesis to convert light energy into chemical energy, storing it as carbohydrates and releasing vital oxygen.",synthetic
sum_en_02,English,Summarization,Technology,Hard,"Summarize the following paragraph in one sentence:
Artificial intelligence is intelligence demonstrated by machines, as opposed to natural intelligence of humans and animals. Leading AI textbooks define the field as the study of intelligent agents, which perceive their environment and take actions that maximize their chance of successfully achieving their goals. As machines become increasingly capable, tasks considered to require 'intelligence' are often removed from the definition of AI, a phenomenon known as the AI effect.","Artificial intelligence refers to machines acting as intelligent agents to achieve goals, with its definition evolving as technology progresses.",synthetic
sum_en_03,English,Summarization,History,Hard,"Summarize the following paragraph in one sentence:
The Industrial Revolution was the transition to new manufacturing processes in Great Britain, continental Europe, and the United States, in the period from about 1760 to about 1840. This transition included going from hand production methods to machines, new chemical manufacturing and iron production processes, the increasing use of steam power and water power, the development of machine tools and the rise of the mechanized factory system.",The Industrial Revolution marked the transition from hand production to mechanized manufacturing and steam power between 1760 and 1840.,synthetic
sum_en_04,English,Summarization,Environment,Hard,"Summarize the following paragraph in one sentence:
Global warming is the long-term heating of Earth's climate system observed since the pre-industrial period due to human activities, primarily fossil fuel burning, which increases heat-trapping greenhouse gas levels in Earth's atmosphere. This term is not interchangeable with the term 'climate change', which refers to both human-induced and natural warming and the effects it has on our planet, such as glacier melt and sea level rise.","Global warming is the long-term rise in Earth's temperature caused by human fossil fuel emissions, distinct from broader climate change.",synthetic
sum_en_05,English,Summarization,Biology,Hard,"Summarize the following paragraph in one sentence:
The human brain is the central organ of the human nervous system, and with the spinal cord makes up the central nervous system. The brain consists of the cerebrum, the brainstem and the cerebellum. It controls most of the activities of the body, processing, integrating, and coordinating the information it receives from the sensory organs, and making decisions as to the instructions sent to the rest of the body.","The human brain is the central nervous system's core organ, controlling bodily activities by processing sensory data and directing actions.",synthetic
sum_en_06,English,Summarization,Technology,Medium,"Summarize the following paragraph in one sentence:
Blockchain is a decentralized, distributed, and public digital ledger that is used to record transactions across many computers so that the record cannot be altered retroactively without the alteration of all subsequent blocks and the consensus of the network. This allows the participants to verify and audit transactions relatively inexpensively, making it highly useful for secure asset transfers like cryptocurrencies.","Blockchain is a secure, decentralized digital ledger that permanently records transactions across a network without retroactive alteration.",synthetic
sum_en_07,English,Summarization,Astronomy,Hard,"Summarize the following paragraph in one sentence:
The solar system is the gravitationally bound system of the Sun and the objects that orbit it, either directly or indirectly. Of the objects that orbit the Sun directly, the largest are the eight planets, with the remainder being smaller objects, such as the five dwarf planets and small Solar System bodies. Of the objects that orbit the Sun indirectly—the natural satellites—two are larger than the smallest planet, Mercury.","The solar system consists of the Sun and all direct or indirect orbiting bodies, including eight planets and various dwarf planets.",synthetic
sum_en_08,English,Summarization,Medicine,Medium,"Summarize the following paragraph in one sentence:
Penicillin was discovered in 1928 by Scottish scientist Alexander Fleming as a chance occurrence in his laboratory. It revolutionized medicine as the world's first effective antibiotic, saving millions of lives by successfully treating bacterial infections that were previously fatal, such as pneumonia and rheumatic fever. This breakthrough paved the way for the development of modern pharmaceutical antibiotics.","Discovered by Alexander Fleming in 1928, penicillin was the first effective antibiotic, saving millions of lives from bacterial infections.",synthetic
sum_en_09,English,Summarization,Health/Culture,Medium,"Summarize the following paragraph in one sentence:
Yoga is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India. Yoga is one of the six orthodox philosophical schools of Hinduism. It aims to control and still the mind, recognizing a detached witness-consciousness untouched by the mind and active suffering. Yoga has since spread globally, practiced widely for physical fitness, stress relief, and mindfulness.","Originating in ancient India, yoga is a physical, mental, and spiritual practice designed to calm the mind and reduce stress.",synthetic
sum_en_10,English,Summarization,Technology,Medium,"Summarize the following paragraph in one sentence:
The Internet of Things (IoT) describes physical objects with sensors, processing ability, software, and other technologies that connect and exchange data with other devices and systems over the Internet or other communications networks. The field has evolved due to the convergence of multiple technologies, including ubiquitous computing, commodity sensors, increasingly powerful embedded systems, and machine learning.",The Internet of Things connects physical objects containing sensors and software to exchange data over communication networks.,synthetic
sum_en_11,English,Summarization,Environment,Hard,"Summarize the following paragraph in one sentence:
Wind power is the use of wind to provide mechanical power through wind turbines to turn electric generators for electrical power. Wind power is a popular, sustainable, renewable energy source that has a much smaller impact on the environment than burning fossil fuels. Historically, wind power was used sails, windmills, and windpumps, but today it is primarily utility-scale wind farms connected to electrical grids.","Wind power is a clean, renewable energy source that converts wind movement into electricity using specialized wind turbines.",synthetic
sum_en_12,English,Summarization,Economy,Hard,"Summarize the following paragraph in one sentence:
Microeconomics is a subfield of mainstream economics that studies the behavior of individuals and firms in making decisions regarding the allocation of scarce resources and the interactions among these individuals and firms. It focuses on how decisions and behaviors affect the supply and demand for goods and services, which determines prices and how prices, in turn, determine the supply and demand of goods and services.","Microeconomics examines how individuals and firms make decisions to allocate scarce resources, determining prices through supply and demand.",synthetic
sum_en_13,English,Summarization,Biology,Medium,"Summarize the following paragraph in one sentence:
DNA, or deoxyribonucleic acid, is a molecule that contains the biological instructions that make each species unique. It is passed down from adult organisms to their offspring during reproduction. The double-helix structure of DNA was first discovered in 1953 by James Watson and Francis Crick, which unlocked a deep understanding of genetics, heredity, and evolutionary biology.","DNA is the double-helix molecule carrying genetic instructions for life, discovered in 1953 by Watson and Crick.",synthetic
sum_en_14,English,Summarization,History,Medium,"Summarize the following paragraph in one sentence:
The Renaissance was a fervent period of European cultural, artistic, political and scientific 'rebirth' following the Middle Ages. Promoted from the 14th century to the 17th century, the Renaissance promoted the rediscovery of classical philosophy, literature and art. Some of the greatest thinkers, authors, statesmen, scientists and artists in human history thrived during this era, paving the way for modern civilization.","The Renaissance was a European cultural and scientific rebirth from the 14th to 17th centuries, reviving classical philosophy and art.",synthetic
sum_en_15,English,Summarization,Science,Hard,"Summarize the following paragraph in one sentence:
Water is an inorganic, transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms. It is vital for all known forms of life, even though it provides no calories or organic nutrients. Its chemical formula is H2O, meaning that each of its molecules contains one oxygen and two hydrogen atoms.","Water (H2O) is an essential, inorganic chemical substance that constitutes Earth's hydrosphere and supports all known forms of life.",synthetic
sum_en_16,English,Summarization,Technology,Medium,"Summarize the following paragraph in one sentence:
A smart grid is an electricity network enabling a two-way flow of electricity and data with digital communications technology enabling to detect, react and pro-act to changes in usage and multiple issues. Smart grids have self-healing capabilities and enable electricity customers to become active participants. They are key to integrating renewable energy sources efficiently.","A smart grid uses digital communication to enable two-way electricity and data flow, optimizing power usage and renewable integration.",synthetic
sum_en_17,English,Summarization,Economy,Medium,"Summarize the following paragraph in one sentence:
Macroeconomics is a branch of economics dealing with the performance, structure, behavior, and decision-making of an economy as a whole. This includes regional, national, and global economies. Macroeconomists study topics such as GDP, unemployment rates, national income, price indices, inflation, and how these aggregates interact to form the overall economic landscape of a country.","Macroeconomics studies the behavior, structure, and aggregates of entire regional, national, or global economies.",synthetic
sum_en_18,English,Summarization,History,Medium,"Summarize the following paragraph in one sentence:
The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States. The timing of the Great Depression varied across nations; in most countries, it started in 1929 and lasted until the late 1930s. It was the longest, deepest, and most widespread depression of the 20th century, causing massive unemployment and poverty.","The Great Depression of the 1930s was the most severe global economic downturn of the 20th century, causing widespread poverty.",synthetic
sum_en_19,English,Summarization,Technology,Medium,"Summarize the following paragraph in one sentence:
Quantum computing is a rapidly-emerging technology that harnesses the laws of quantum mechanics to solve problems too complex for classical computers. It utilizes qubits, which can exist in multiple states simultaneously (superposition) and interact with each other (entanglement). This allows quantum computers to perform certain calculations exponentially faster than even the most powerful supercomputers.","Quantum computing utilizes quantum mechanics (qubits, superposition, and entanglement) to solve complex problems exponentially faster than classical computers.",synthetic
sum_en_20,English,Summarization,Environment,Medium,"Summarize the following paragraph in one sentence:
An ecosystem is a structural and functional unit of ecology where the living organisms interact with each other and the surrounding environment. In other words, an ecosystem is a chain of interaction between organisms and their environment. It includes biotic components like plants, animals, and decomposers, and abiotic components like temperature, water, and soil.",An ecosystem is a biological community where living organisms interact with each other and their non-living physical environment.,synthetic
sum_en_21,English,Summarization,Biology,Hard,"Summarize the following paragraph in one sentence:
The human heart is an organ that pumps blood throughout the body via the circulatory system, supplying oxygen and nutrients to the tissues and removing carbon dioxide and other wastes. It is located in the middle compartment of the chest, between the lungs. In humans, other mammals, and birds, the heart is divided into four chambers: upper left and right atria and lower left and right ventricles.",The human heart is a four-chambered organ that pumps oxygenated blood throughout the body and removes waste via the circulatory system.,synthetic
sum_en_22,English,Summarization,Technology,Medium,"Summarize the following paragraph in one sentence:
Nanotechnology is the manipulation of matter on an atomic, molecular, and supramolecular scale. The earliest, widespread description of nanotechnology referred to the particular technological goal of precisely manipulating atoms and molecules for fabrication of macroscale products, also now referred to as molecular nanotechnology. It is applied in medicine, electronics, and biomaterials.",Nanotechnology is the precise manipulation of matter at the atomic or molecular scale to create advanced materials and devices.,synthetic
sum_en_23,English,Summarization,History/Agriculture,Medium,"Summarize the following paragraph in one sentence:
Agriculture is the science, art, and practice of cultivating plants and livestock. It was the key development in the rise of sedentary human civilization, whereby farming of domesticated species created food surpluses that enabled people to live in cities. The history of agriculture began thousands of years ago, evolving with diverse climates, cultures, and technologies.",Agriculture is the cultivation of plants and livestock that allowed food surpluses and enabled the rise of human civilization.,synthetic
sum_en_24,English,Summarization,Medicine,Medium,"Summarize the following paragraph in one sentence:
Vaccines are biological preparations that provide active acquired immunity to a particular infectious disease. A vaccine typically contains an agent that resembles a disease-causing microorganism and is often made from weakened or killed forms of the microbe, its toxins, or one of its surface proteins. This agent stimulates the body's immune system to recognize and destroy the threat in future encounters.","Vaccines train the body's immune system to combat specific diseases using weakened, killed, or synthetic agents resembling the pathogen.",synthetic
sum_en_25,English,Summarization,Philosophy,Hard,"Summarize the following paragraph in one sentence:
Socrates was a classical Greek philosopher credited as one of the founders of Western philosophy, and as being the first moral philosopher of the Western ethical tradition of thought. An enigmatic figure, Socrates authored no texts and is known mainly through the posthumous accounts of classical writers, particularly his students Plato and Xenophon. His Socratic method remains a standard for logical dialogue.",Socrates was a pioneering Greek philosopher who founded Western ethics and introduced the dialogue-based Socratic method.,synthetic
sum_en_26,English,Summarization,Astronomy,Hard,"Summarize the following paragraph in one sentence:
The Milky Way is the galaxy that includes our Solar System, with the name describing the galaxy's appearance from Earth: a hazy band of light seen in the night sky formed from stars that cannot be individually distinguished by the naked eye. It is a barred spiral galaxy with an estimated diameter of 100,000 to 150,000 light-years, containing over 100 billion stars.","The Milky Way is a barred spiral galaxy containing over 100 billion stars, including our own Solar System.",synthetic
sum_en_27,English,Summarization,Economy,Medium,"Summarize the following paragraph in one sentence:
A central bank is an institution that manages the currency, money supply, and interest rates of a state or formal monetary union. It also oversees the commercial banking system within those countries. In contrast to a commercial bank, a central bank possesses a monopoly on increasing the monetary base, and usually prints the national currency, which serves as the legal tender.","A central bank manages a nation's monetary policy, currency issuance, interest rates, and oversees its commercial banking system.",synthetic
sum_en_28,English,Summarization,Geography/Environment,Hard,"Summarize the following paragraph in one sentence:
The Amazon Rainforest is a moist broadleaf tropical rainforest in the Amazon biome that covers most of the Amazon basin of South America. This basin encompasses 7,000,000 square kilometers, of which 5,500,000 square kilometers are covered by the rainforest. It represents over half of the planet's remaining rainforests and comprises the largest and most biodiverse tract of tropical rainforest in the world.","The Amazon Rainforest in South America is the world's largest and most biodiverse tropical rainforest, covering over five million square kilometers.",synthetic
sum_en_29,English,Summarization,Biology,Medium,"Summarize the following paragraph in one sentence:
Metabolism is the set of life-sustaining chemical reactions in organisms. The three main purposes of metabolism are: the conversion of the energy in food to energy available to run cellular processes; the conversion of food to building blocks for proteins, lipids, nucleic acids, and some carbohydrates; and the elimination of metabolic wastes. These enzyme-catalyzed reactions allow organisms to grow and reproduce.","Metabolism consists of vital chemical reactions that convert food to cellular energy, produce cellular building blocks, and eliminate waste.",synthetic
sum_en_30,English,Summarization,Technology,Hard,"Summarize the following paragraph in one sentence:
3D printing, or additive manufacturing, is the construction of a three-dimensional object from a CAD model or a digital 3D model. The term '3D printing' can refer to a variety of processes in which material is joined or solidified under computer control to create a three-dimensional object, with materials (such as liquid molecules or powder grains) being fused together, typically layer by layer.",3D printing is an additive manufacturing process that constructs physical objects layer-by-layer from digital models under computer control.,synthetic
sum_en_31,English,Summarization,History,Hard,"Summarize the following paragraph in one sentence:
The Treaty of Versailles was the most important of the peace treaties that brought World War I to an end. The Treaty ended the state of war between Germany and the Allied Powers. It was signed on 28 June 1919 in Versailles, exactly five years after the assassination of Archduke Franz Ferdinand, which had directly led to the war. The treaty imposed severe financial and territorial penalties on Germany.","Signed in 1919, the Treaty of Versailles officially ended World War I by establishing peace terms and imposing penalties on Germany.",synthetic
sum_en_32,English,Summarization,Environment,Medium,"Summarize the following paragraph in one sentence:
Geothermal energy is thermal energy generated and stored in the Earth. Thermal energy is the energy that determines the temperature of matter. The geothermal energy of the Earth's crust originates from the original formation of the planet and from radioactive decay of materials. It is a reliable, continuous source of clean, renewable energy that can be harvested for heating and electricity.","Geothermal energy is clean, continuous thermal energy extracted from the Earth's crust, originating from planetary formation and radioactive decay.",synthetic
sum_en_33,English,Summarization,Economy,Hard,"Summarize the following paragraph in one sentence:
Inflation is a general increase in prices and fall in the purchasing value of money. When the general price level rises, each unit of currency buys fewer goods and services; consequently, inflation reflects a reduction in the purchasing power per unit of money – a loss of real value in the medium of exchange. Central banks attempt to limit inflation to keep the economy running smoothly.","Inflation is the general rise in prices over time, which reduces the purchasing power of a currency.",synthetic
sum_en_34,English,Summarization,History,Hard,"Summarize the following paragraph in one sentence:
The Magna Carta was a royal charter of rights agreed to by King John of England at Runnymede, near Windsor, on 15 June 1215. First drafted by the Archbishop of Canterbury to make peace between the unpopular king and a group of rebel barons, it promised the protection of church rights, protection for the barons from illegal imprisonment, and access to swift justice.","Agreed to by King John in 1215, the Magna Carta was a landmark English charter protecting individual rights against absolute royal power.",synthetic
sum_en_35,English,Summarization,Biology,Hard,"Summarize the following paragraph in one sentence:
Photosensitive cells in the human eye, known as photoreceptors, are found in the retina. There are two primary types of photoreceptors: rods and cones. Rods are highly sensitive to light and enable us to see in dim conditions, though they do not perceive color. Cones, on the other hand, require brighter light and are responsible for high-resolution color vision and detail perception.","The retina's rods and cones are photoreceptors; rods enable low-light monochrome vision, while cones handle bright-light color vision.",synthetic
